en,vi
"Research design and sample size - Prospective descriptive study, with longitudinal follow-up - Convenient template selection 2.2.2.","Thiết kế nghiên cứu và cỡ mẫu - Nghiên cứu mô tả tiến cứu, có theo dõi dọc, không đối chứng - Lựa chọn mẫu thuận tiện 2.2.2."
The method of data collection 2.2.3.,Phơng pháp thu thập số liệu 2.2.3.
MRI procedure 2.2.3.2.,Quy trình chụp C T 2.2.3.2.
"Surgery procedure - Prepare patients, prepare surgical tools and equipment - Spinal anesthesia.","Quy trình PT - Chuẩn bị BN, chuẩn bị dụng cụ và phương tiện PT - Vô cảm: Gây tê tuỷ sống."
Evaluation of internal fistula - The rate of detecting internal fistula on MRI before magnetic surgery is 62.5%.,"Đánh giá lỗ rò trong - Tỷ lệ phát hiện lỗ rò trong trên CHT trước mổ từ là 62,5%."
Chapter 4 DISCUSSIONS 4.1.,CHƠNG 4 BÀN LUẬN 4.1.
Duration of disease The mean duration of disease in the study was 4.1 ± 6.0 months (3 days - 24 months).,"Thời gian m c bệnh Thời gian mắc bệnh trung bình của BN trong nghiên cứu là 4,1 ± 6,0 tháng (3 ngày - 24 tháng)."
"Thus, MRI can detect internal fistula with sensitivity and specificity of 100%, positive predictive value of 85.7%.","Như vậy, chụp CHT có thể phát hiện lỗ rò trong với độ nhạy và độ đặc hiệu là 100%, giá trị dự đoán dương tính 85,7%."
"Surgery methods - Fistulotomy (Lay - open) In our study, 15 patients (26.8%) had surgery to completely open the fistula.","Phư ng pháp PT - Mở ngỏ đường rò: Trong nghiên cứu của chúng tôi, 15 BN (26,8%) được PT mở ngỏ hoàn toàn đường rò."
The authors recommend this method as a suitable option for high horseshoe-shaped abscesses.,Các tác giả khuyến nghị phương pháp này như là một lựa chọn phù hợp cho các trường hợp áp xe / RHM hình móng ngựa cao.
The distance from the external to the anal margin averaged 2.6 cm.,"Khoảng cách lỗ rò ngoài đến rìa hậu môn trung bình 2,6 cm."
"MRI has a high value in diagnosing HAF with an internal fistula finding rate of 62.5%, sensitivity and specificity of 100%.","Chụp CHT có giá trị cao trong chẩn đoán RHM hình móng ngựa với tỷ lệ tìm thấy lỗ rò trong là 62,5%, độ nhạy và độ đặc hiệu là 100%."
Early complications 12.6%.,"Biến chứng sớm 12,6%."
Of which 78.2% of internal is at the 6 o'clock position.,"Phần lớn lỗ rò trong ở vị trí 6 giờ, chiếm 78,2%."
The the mean time of wound healing was 10.2 weeks.,"Thời gian lành vết thương trung bình 10,2 tuần."
24 RECOMMENDATION 1.,KIẾN NGHỊ 1.
Recurrence 12.5%.,"Tỷ lệ tái phát 12,5%."
3 Chapter 1 LITERATURE REVIEW 1.1.,CHƠNG 1 TỔNG QUAN TÀI LIỆU 1.1.
Anatomy - Physiology of the anorectal region 1.1.1.,Giải phẫu – Sinh lý vùng HM trực tràng 1.1.1.
Shape and structure 1.1.1.2.,Hình thể và cấu tạo 1.1.1.2.
Mechanical factors 1.1.2.2.,Yếu tố c học 1.1.2.2.
Sphincter factor 1.1.2.5.,Yếu tố c th t 1.1.2.5.
"Currently, MRI is increasingly used in the diagnosis and evaluation of HAF.","Hiện nay, CHT ngày càng được sử dụng rộng rãi trong chẩn đoán và đánh giá tổn các đường RHM hình móng ngựa."
Classification of abscesses near the anus 1.2.4.2.,Phân loại áp xe cạnh HM 1.2.4.2.
History 5 1.3.2.,Lịch s 1.3.2.
"However, hepatectomy remains the most fundamental and effect ive treatment.","Tuy nhiên, phẫu thuật cắt gan là phương pháp điều trị cơ bản và hiệu quả nhất."
CHAPTER II RESEARCH SUBJECTS AND METHO DS 2.1.,CHƯƠNG II ĐỐ I TƯỢ NG VÀ PHƯƠ NG PHÁP NGHIÊN C ỨU 2.1.
RESEARCH METHO DS 2.2.1.,PHƯƠ NG PHÁP NGHIÊN CỨU 2.2.1.
Indications and contraindications * Indications: - Localized single or multiple tumors without size limitation.,Chỉ định và chống chỉ định * Chỉ định: cho những BN: - U gan đơn độc hoặc nhiều u nhưng khu trú không hạn chế kích thước - Khối u chưa xâm lấn mạch máu lớn - Chưa có di căn xa - Nhu mô gan còn lại lành hoặc xơ nhẹ.
"Operative steps Step 1: Abdominal incision: using J-shaped, T-shaped or upper midline incision.",Quy trình chung Bước 1: Đường mở bụng: Mở bụng theo đường chữ J hoặc đường chữ Thoặc đường trắng giữa trên rốn.
Demarcation line marked.,Đánh dấu diện cắt gan.
"- Parenchymal transection: using Kelly clamp, Harmonic scalpel, Ligasure or CUSA.","- Cắt nhu mô gan: bằng Kelly, dao siêu âm, Ligasure hoặc CUSA."
Clinical characteristics: Signs and symptoms 2.2.5.3.,Đặc điểm lâm sàng: Triệu chứng cơ năng và thực thể 2.2.5.3.
"Paraclinical characteristics - Hematologic tests, biochemistry tests, hepatitis tests.","Đặc điểm cận lâm sàng - Huyết học, sinh hoá máu, xét nghiệm các dấu ấn viêm gan."
* Biopsy results * Disease staging using Barcelona and AJCC grading system.,* Sinh thiết * Phân chia giai đoạn bệnh: Theo Barcelona và AJCC 2.2.5.4.
RESULTS 3.1.,KẾT QUẢ 3.1.
CLINICAL AND PARACLINICAL CHARACTERISTICS 3.2.1.,LÂM SÀNG VÀ CẬN LÂM SÀNG 3.2.1.
Paraclinical characteristics 3.2.2.1.,Cận lâm sàng 3.2.2.1.
- Biochemistry tests: liver enzymes slightly increased in preoperative biochemistry tests.,- Sinh hoá: Xét nghiệm sinh hoá của BN trước mổ thấy men gan tăng nhẹ.
"Type of incision: J-shaped abdominal incision was used in the majority of cases, account ing for 64.1%.","Đường mở bụng: Đường mở bụng được sử dụng phổ biến trong nghiên cứu là đường chữ J chiếm tỷ lệ 64,1%."
"There were 30 tables, 31 images and 21 diagrams.","Luận án có 30 bảng, 31 mục hình ảnh và 21 biểu đồ."
"He mostasis, bile leakage control and coverage of transection surface - Hemostasis control: bipolar alone or in combination with suture was used for hemostasis in most cases (97.2%).","Kiểm tra cầm máu, rò mật, che phủ diện cắt - Kiểm tra cầm máu: phần lớn sử dụng dao Bipolar đơn thuần hoặc kết hợp với khâu để cầm máu diện cắt gan 97,2% BN."
"This is a technique of anatomic hepatectomy which can not only be used in major hepatectomy but also in sectionectomy or segmentectomy, and is not possible with other techniques.",Đây là kỹ thuật cắt gan theo đúng giải phẫu không những cắt gan lớn mà cả cắt gan phân thuỳ và đặc biệt là cắt gan hạ phân thuỳ mà các kỹ thuật trước đó không làm được.
CHAPTER IV.,CHƯƠNG 4.
GENERAL CHARACTERISTICS 4.1.1.,ĐẶC ĐIỂM CHUNG 4.1.1.
CLINICAL AND PARACLLINICAL CHARACTERISTICS 4.2.1.,LÂM SÀNG VÀ CẬN LÂM SÀNG 4.2.1.
Paraclinical characteristics 4.2.2.1.,Cận lâm sàng 4.2.2.1.
The success rate in our study was 100%.,Kết quả nghiên cứu cho thấy: tỷ lệ kiểm soát cuống Glisson thành công: 100% trường hợp.
Applications The hepatic division nomenclature helps the surgeon quickly locate a specific anatomic position within the liver.,Ứng dụng Giúp phẫu thuật viên nhanh chóng nắm bắt được vị trí giải phẫu gan được đề cập đến.
"In most cases, the transection surface was covered by Surgicel (87.8%), followed by the combination of Surgicel and greater omentum (7.5%).","Kết quả nghiên cứu cho thấy: che phủ diện cắt bằng surgicel chiếm tỷ cao nhất (87,8%), surgicel kết hợp mạc nối lớn (7,5%)."
"In surgery, it is used in anatomic hepatectomy.",Trong phẫu thuật: cắt gan theo giải phẫu.
"Hepatectomy: Type of pedicle approach: right (67%), anterior sectional (62.3%), posterior sectional (69.8%), segmental (56.6%).","Cắt gan: Kiểm soát cuống Glisson: phải (67%), phân thuỳ trước (62,3%), phân thuỳ sau (69,8%), hạ phân thuỳ (56,6%)."
Hemostasis of transection surface with bipolar energy (65.1%).,"Cầm máu diện cắt bằng: dao Bipolar (65,1%)."
"Type of hepatectomy: minor hepatectomy (79.3%), major hepatectomy (20.7%).","Tỉ lệ cắt gan nhỏ: 79,3%, cắt gan lớn: 20,7%."
Dissection of this space was almost bloodless and helped avoid parenchymal lesions.,Phẫu tích vào vùng này tránh được tổn thương nhu mô gan và hầu như không chảy máu.
He reported a success rate of 75% and a failure rate of 25%.,"Tỉ lệ kiểm soát cuống thành công của tác giả đạt 75%, thất bại 25%."
"Keyword: Methanol, gas chromatography, flame ionization detection, alcohol File attachments:","Từ khoá: Methanol, sắc ký khí, detector ngọn lửa, rượu trắng Tài liệu đính kèm:"
There were eight samples which exceeded TCVN 7043: 2013.,Có 8 mẫu vượt quá quy định cho phép theo TCVN 704 3:2 013.
"Keyword: Computerized, data management and analysis, child malnutrition control program.","Từ khoá: Tin học, quản lí, phân tích, chương trình PCSDD."
"Impedance index, standard anthropometric measurements, and variable for predicting fat-free mass in sick children.","Chỉ số điện trở, các số đo nhân trắc và biến số ước lượng khối nạc trên bệnh nhi."
"Conclusion: rice vermicelli, steamed thin rice pancake could use in menu of obesity and diabetes.","Kết luận: bún, bánh ướt có thể ứng dụng được cho thực đơn đái tháo đường."
"8.4% of the respondents gave rating of ""normal"" for administrative procedures.","Mức đánh giá bình thường toàn bộ quá trình là 8,4%."
"These percentages for 4 years old children were 67% and 90%, respectively.",Nhóm 4 tuổi năng lượng đạt: 67%; Protid là: 90%.
"Keyword: Dietary intake, Household.","Từ khoá: Khẩu phần ăn, Hộ gia đình."
"Keyword: ADN aptamer, ImmunoglobulinE, dissociation constant, fluorescence anisotropy, capillary, electrophoresis.","Từ khoá: ADN aptamer, ImmunoglobulinE, hằng số phân ly, điện di mao quản, huỳnh quang bất đẳng hướng."
"Other types of flexion deformities of the fingers can also occur in diabetes, locked trigger fingers, an ulnar claw hand, systemic sclerosis, and chronic reflex sympathetic dystrophy, which need to be differentiated.","Cần phân biệt với các loại khác của biến dạng gấp của ngón tay cũng có thể xảy ra ở bệnh nhân đái tháo đường, xơ cứng bì hệ thống, và chứng loạn dưỡng giao cảm phản xạ mạn tính."
"However, this tenderness is self-limiting and often resolves with no intervention.","Tuy nhiên, tình trạng đau này có thể tự giới hạn và thường ổn định mà không cần can thiệp."
(See also Overview and Evaluation of Hand Disorders.),(Xem thêm Tổng quan và đánh giá các bệnh lý bàn tay.)
The hand eventually becomes arched.,Bàn tay cuối cùng trở thành hình vòm.
Diagnosis of Infected Bite Wounds Clinical evaluation Usually x-rays Usually wound cultures Erythema and pain localized to the bite suggest infection.,Chẩn đoán nhiễm trùng vết thương do cắn Đánh giá lâm sàng Thường là chụp Xquang Nuôi cấy dịch vết thương là thường quy Ban đỏ và đau khu trú quanh vết cắn gợi ý tình trạng nhiễm trùng.
"Missed or delayed diagnosis Disorders that are common among older adults are frequently missed, or the diagnosis is delayed.","Chẩn đoán bị chậm hoặc bị bỏ qua Những rối loạn thường gặp ở người lớn tuổi thường bị bỏ qua, hoặc chẩn đoán bị trì hoãn."
"This review is especially important during care transitions when reconciliation of drugs is required to eliminate duplication, missed drugs, and errors in dosage and to identify drugs that may be no longer be needed.","Đánh giá này đặc biệt quan trọng trong quá trình chuyển đổi chăm sóc khi cần đối chiếu các loại thuốc để loại bỏ trùng lặp, bỏ sót thuốc và sai sót về liều lượng và xác định các loại thuốc có thể không còn cần thiết."
"(For screening recommendations in older people, see Prevention of Disease in Older Adults.)","(Để biết các khuyến nghị tầm soát ở người lớn tuổi, hãy xem Phòng ngừa bệnh tật ở người cao tuổi.)"
"Multiple disorders On average, older patients have 6 diagnosable disorders.","Nhiều rối loạn Trung bình, bệnh nhân cao tuổi có 6 rối loạn có thể chẩn đoán được."
"Ovulatory Dysfunction By Robert W Rebar, MD, Western Michigan University Homer Stryker M D.","Rối loạn chức năng phóng noãn Theo Robert W. Rebar, MD, Western Michigan University Homer Stryker M.D."
"However, this method is often inaccurate.","Tuy nhiên, phương pháp này thường không chính xác."
"School of Medicine Reviewed / Revised Sep 2022 View Patient Education Etiology Symptoms and Signs Diagnosis Treatment Key Points Ovulatory dysfunction is abnormal, irregular (with ≤ 9 menses / year), or absent ovulation.","School of Medicine Đánh giá về mặt y tế Thg9 2022 Căn nguyên Triệu chứng và Dấu hiệu Chẩn đoán Điều trị Những điểm chính Rối loạn chức năng phóng noãn là bất thường, không đều (với ≤ 9 kì kinh nguyệt / năm), hoặc không có phóng noãn."
Menses are often irregular or absent.,Kinh nguyệt thường không đều hoặc không có.
"Treatment of the underlying disorder Underlying disorders (eg, hyperprolactinemia) are treated.","Điều trị các rối loạn tiềm ẩn Các rối loạn tiềm ẩn (ví dụ, tăng prolactin máu) được điều trị."
"Most often, the cause is unknown.","Thông thường nhất, nguyên nhân là không rõ."
(See also Overview of Paraphilic Disorders and Sexual abuse.),(Xem thêm Tổng quan về Rối loạn lệch lạc tình dục và Lạm dụng tình dục.)
"However, use of child pornography by itself does not meet criteria for pedophilic disorder, although it is typically illegal.","Tuy nhiên, bản thân việc sử dụng văn hoá phẩm khiêu dâm trẻ em không đáp ứng các tiêu chuẩn cho chứng rối loạn với trẻ em, mặc dù điều này thường là bất hợp pháp."
"Clinical criteria for diagnosis (based on Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition [DSM-5]) of pedophilic disorder are Recurrent, intense sexually arousing fantasies, urges, or behaviors involving a prepubescent child or children (usually ≤ 13 years) have been present for ≥ 6 months.","Tiêu chuẩn lâm sàng để chẩn đoán (dựa trên Cẩm nang chẩn đoán và thống kê về rối loạn tâm thần, Ấn bản thứ Năm [DSM-5]) của rối loạn ấu dâm là Những hành vi, thôi thúc hoặc tưởng tượng kích thích tình dục tái diễn, mãnh liệt liên quan đến trẻ trước tuổi vị thành niên hoặc trẻ em (thường là ≤ 13 tuổi) hiện diện trong thời gian ≥ 6 tháng."
They should be exchanged for lines above the diaphragm as soon as possible.,Đường truyền này nên được đổi cho các đường truyền phía trên cơ hoành càng sớm càng tốt.
Maintain your grasp on the guidewire at all times during the insertion.,Luôn nắm dây dẫn hướng trong quá trình luồn vào.
"It is not typically used but is optional (eg, in obese patients) for femoral vein cannulation.","Nó thường không được sử dụng nhưng là tuỳ chọn (ví dụ, ở bệnh nhân béo phì) để đặt ống thông tĩnh mạch đùi."
Additional Considerations for Femoral Vein Cannulation Cannulation attempts sometimes fail.,Cân nhắc bổ sung đối với đặt ống thông tĩnh mạch đùi Các lần thử đặt ống thông đôi khi không thành công.
"Positioning for Femoral Vein Cannulation Raise the bed to a comfortable height for you (ie, so you may stand straight while doing the procedure).",Tư thế trong đặt ống thông tĩnh mạch đùi Nâng giường lên độ cao thoải mái cho bạn (tức là bạn có thể đứng thẳng trong khi làm thủ thuật).
"When ultrasonographic guidance and trained personnel are available, this method of placement is preferred.","Khi có dẫn hướng siêu âm và nhân viên được đào tạo, phương pháp đặt này được ưu tiên hơn."
"(See also Vascular Access: Central Venous Catheterization and How To Do Femoral Vein Cannulation, Ultrasound-Guided)","(Xem thêm Cách tiếp cận mạch máu: đặt ống thông tĩnh mạch trung tâm và Cách đặt ống thông tĩnh mạch đùi, có dẫn hướng dẫn bằng siêu âm.)"
Relevant Anatomy The catheter is inserted on the longitudinal midline 2 cm inferior to the umbilicus.,Giải phẫu liên quan Ống thông được đưa vào đường giữa dọc dưới rốn 2 cm.
"Prepare the patient Insert a nasogastric tube (see How To Insert a Nasogastric Tube) Insert a urinary catheter (see How To Do Urethral Catheterization in a Female or How To Do Urethral Catheterization in a Male) If semi-open DPL is anticipated, shave a broad area about the anticipated incision site.","Chuẩn bị bệnh nhân Luồn ống thông mũi dạ dày (xem Cách đặt ống thông mũi dạ dày) Đặt ống thông tiểu (xem Cách đặt ống thông niệu đạo ở nữ hoặc Cách đặt ống thông niệu đạo ở nam) Nếu dự đoán có DPL bán mở, hãy cạo một vùng rộng về vị trí vết mổ dự kiến."
"For semi-open technique, place large sterile drapes to establish a bigger sterile field.","Đối với kỹ thuật bán mở, đặt các tấm săng mổ vô trùng lớn để thiết lập trường mổ vô trùng lớn hơn."
"* Standard entry site is midline, 2 cm inferior to the umbilicus.","* Vị trí đầu vào tiêu chuẩn là đường giữa, dưới rốn 2 cm."
"Reinsert the needle at a slightly different site, but still on the midline.","Chọc lại kim ở một vị trí hơi khác một chút, nhưng vẫn ở trên đường giữa."
"Semi-open technique (alternative) An assistant is useful, particularly if the patient is obese.","Kỹ thuật bán mở (thay thế) Cần có một trợ lý, đặc biệt là nếu bệnh nhân bị béo phì."
Close any skin incision with sutures or staples and dress the site.,Đóng bất kỳ vết rạch da nào bằng chỉ hoặc ghim và băng chỗ chọc.
"Wounds are evaluated for damage to underlying structures (eg, nerves, vasculature, tendons, bone) and for foreign bodies.","Vết thương được đánh giá tổn hại cho các cấu trúc bên dưới (ví dụ dây thần kinh, mạch máu, dây chằng, xương) và dị vật."
Evaluation should focus on careful assessment of function and the extent of the bite.,Đánh giá nên tập trung vào việc đánh giá cẩn thận chức năng và mức độ vết cắn.
"How To Clean, Debride, and Dress Lacerations VIDEO Wound closure is done only for select wounds (ie, that have minimal damage and can be cleansed effectively).",Đóng vết thương chỉ được thực hiện đối với các vết thương chọn lọc (tức là có những thiệt hại tối thiểu và có thể được làm sạch hiệu quả).
"Other wounds (ie, fresh, cutaneous lacerations) can usually be closed after appropriate wound hygiene.","Các vết thương khác (tức là các vết rạn da, vết thương mới) thường có thể được khép lại sau khi vệ sinh vết thương thích hợp."
"Results with delayed primary closure are comparable to those with primary closure, so little is lost by leaving the wound open initially if there is any question.","Các kết quả đóng vết thương chậm có thể so sánh với việc đóng sớm, do đó rất ít bị thiệt hại khi để vết thương mở ra ban đầu nếu có bất kỳ câu hỏi nào."
Evaluate hand wounds with the hand in the position it was when the wound was inflicted.,Đánh giá các vết thương bằng tay với vị trí của nó khi vết thương được gây ra.
"Evaluate wounds for damage to nerve, tendon, bone, and vasculature and for the presence of foreign bodies.","Đánh giá các vết thương tổn thương thần kinh, gân, xương, mạch máu và xem có dị vật không."
Close only wounds that have minimal damage and can be cleansed effectively.,Chỉ đóng những vết thương có thiệt hại tối thiểu và có thể được làm sạch một cách có hiệu quả.
"Contact lenses can be painful when The corneal epithelium is abraded (see Corneal Abrasions and Foreign Bodies); the eye becomes red, and the cornea stains with fluorescein.","Kính áp tròng có thể gây đau khi Trợt biểu mô (xem Mòn giác mạc và Dị vật); đỏ mắt, và nhuộm fluorescein dương tính."
"The lenses fit poorly (eg, too tight, too loose, poorly centered).","Kính không vừa với mắt (ví dụ, quá chặt, quá lỏng, định tâm kém)."
There is too little moisture to keep the lens floating above the cornea.,Độ ẩm không đảm bảo để giữa kính nổi trên bề mặt giác mạc.
"The lenses are worn in a nonideal environment (eg, oxygen-poor, smoky, windy).","Sử dụng kính trong một môi trường không lý tưởng (ví dụ, thiếu Oxygen, khói, gió)."
"In some cases, active treatment is required (eg, topical antibiotic eye drops or ointments).","Trong một số trường hợp, cần phải điều trị tích cực (ví dụ kháng sinh nước hoặc mỡ tra)."
Diagnosis is by slit-lamp examination and fluorescein staining.,Chẩn đoán bằng khám sinh hiển vi và nhuộm huỳnh quang.
Contact lenses are also used to correct presbyopia.,Kính áp tròng cũng có thể chỉnh được lão thị.
"Microbiologic analysis of cultures and smears of the corneal infiltrate, contact lens, and contact lens case are indicated.","Cần chỉ định xét nghiệm nuôi cấy và phết tiêu bản của thâm nhiễm giác mạc, kính áp tròng, hộp đựng kính áp tròng."
"During this time, the wearer gradually increases the number of hours the lenses are worn each day.","Trong thời gian này, người sử dụng dần dần tăng số giờ đeo kính mỗi ngày."
"Importantly, no pain should occur at any time.",Quan trọng là bệnh nhân không đau khi đeo kính.
They are 13 to 15 mm in diameter and cover the entire cornea.,Kính có đường kính từ 13 đến 15 mm và bao phủ toàn bộ giác mạc.
Care and Complications of Contact Lenses Instructions for hygiene and handling lenses must be strictly observed.,Chăm sóc và Biến chứng của Kính áp tròng Phải tuân thủ nghiêm ngặt hướng dẫn vệ sinh và xử lý kính.
"Symptoms and Signs Retinal artery occlusion causes sudden, painless, severe vision loss or visual field defect, usually unilaterally.","Triệu chứng và Dấu hiệu Tắc động mạch võng mạc gây ra mất thị lực đột ngột, không đau, mất thị lực trầm trọng hoặc khiếm thị trường, thường là ở một mắt."
"Diagnosis Clinical evaluation Sometimes, color fundus photography and fluorescein angiography The diagnosis is suspected when a patient has acute, painless, severe vision loss.","Chẩn đoán Đánh giá lâm sàng Đôi khi, chụp ảnh quỹ đạo màu và chụp mạch huỳnh quang Nghi ngờ khi một bệnh nhân bị mất thị lực cấp tính, trầm trọng, không đau."
Immediate treatment is indicated if occlusion occurred within 24 hours of presentation.,Điều trị ngay lập tức nếu tắc mạch xảy ra trong vòng 24 giờ.
Surgical or laser-mediated embolectomy is available but not commonly done.,Phẫu thuật hoặc laze điều trị huyết khối có thể làm được nhưng không được chỉ định phổ biến.
"These treatments are sometimes shown to be effective in small case series, but none have strong evidence to support efficacy.",Những can thiệp này đôi lúc có hiệu quả trong những chùm ca bệnh nhỏ nhưng chưa phương pháp nào có bằng chứng đủ mạnh để chứng minh hiệu quả.
"Painless, severe loss of vision affects part or all of the visual field.",Mất thị lực trầm trọng không đau ảnh hưởng tới một phần hoặc toàn bộ thị trường.
"Confirm the diagnosis by doing funduscopy (typically showing a pale, opaque fundus with a red fovea and arterial attenuation).","Chẩn đoán xác định bằng chụp ảnh đáy mắt (thường cho thấy một vùng đáy mắt nhạt màu, đục kèm theo hoàng điểm màu đỏ và động mạch tắt dần)."
Reserve color fundus photography and fluorescein angiography and search for an embolic source by doing Doppler ultrasonography and echocardiography for subacute cases.,Dự trữ chụp ảnh quỹ đạo màu và chụp mạch huỳnh quang và tìm kiếm nguồn thuyên tắc bằng cách thực hiện siêu âm Doppler và siêu âm tim cho các trường hợp bán cấp.
Etiology Retinal artery occlusion may be due to embolism or thrombosis.,Căn nguyên Tắc động mạch võng mạc có thể do huyết khối.
"Symptoms and Signs of Hypoglycemia The surge in autonomic activity in response to low plasma glucose causes sweating, nausea, warmth, anxiety, tremulousness, palpitations, and possibly hunger and paresthesias.","Các triệu chứng và dấu hiệu của hạ đường huyết Sự tăng hoạt động tự động để đáp ứng với nồng độ glucose huyết tương thấp gây vã mồ hôi, buồn nôn, ẩm, lo lắng, run rẩy, đánh trống ngực, và có thể đói và dị cảm."
Color vision may be lost out of proportion to the loss of visual acuity.,Thị lực màu có thể mất đi không tương ứng với mất thị lực.
"Laboratory testing for lead, methanol, suspected nutritional deficiencies, and other suspected toxins is done.","Chỉ định các xét nghiệm để tìm chì, methanol, nghi ngờ thiếu hụt dinh dưỡng, và các chất độc được nghi ngờ khác."
"Diagnosis is mainly clinical (eg, bilateral cecocentral scotomata, suggestive history).","Chẩn đoán chủ yếu là lâm sàng (ví dụ, ám điểm trung tâm hai bên, tiền sử gợi ý)."
Diagnosis is by history and visual field examination.,Chẩn đoán dựa vào khai thác bệnh sử và đánh giá thị trường.
Treatment is avoiding suspected toxic agents and / or improving nutrition.,Điều trị là tránh các chất độc nghi ngờ và / hoặc cải thiện dinh dưỡng.
See tables Direct Acting Antivirals to Treat HCV and DAA Combination Therapies for the Treatment of HCV.,Xem bảng Thuốc kháng vi rút tác dụng trực tiếp để điều trị HCV và liệu pháp phối hợp DAA để điều trị HCV.
"(For adults, see Introduction to Urinary Tract Infections.)","(Với người lớn, xem Giới thiệu về Nhiễm trùng đường niệu [UTI].)"
"Treatment is typically for 7 to 10 days, although shorter treatment courses are being evaluated.","Điều trị thường là từ 7 đến 10 ngày, mặc đù liệu pháp ngắn hơn đang được đánh giá hiệu quả."
"Thus, the optimal strategy remains somewhat uncertain.","Như vậy, chiến lược tối ưu vẫn còn chưa chắc chắn."
VUR is classified by grade (see Table: Grades of Vesicoureteral Reflux *).,VUR được phân loại theo mức độ (xem Bảng: Các mức độ trào ngược bàng quang niệu quản *).
"IV Dilation increases, and the sharp angle of the calyceal fornices is obliterated.","IV Sự giãn nở gia tăng, và góc cạnh của đài thận bị mờ."
Follow-up imaging studies of the urinary tract are done.,Các nghiên cứu tiếp theo về đường tiết niệu đã được thực hiện.
Urine culture results are interpreted based on colony counts.,Kết quả cấy nước tiểu được giải thích dựa trên số khuẩn lạc.
Abnormality of any of these mechanisms predisposes to UTI.,Bất thường của bất kỳ phần nào trong cơ chế này là nguy cơ của UTI.
"It is done using technetium-99m-labeled dimercaptosuccinic acid (DMSA), which images the renal parenchyma.","Nó được thực hiện bằng cách sử dụng dimercaptosuccinic acid (DMSA) có đánh dấu technetium-99 m, cho hình ảnh nhu mô thận."
"The most common bacterial causes of meningitis are Streptococcus pneumoniae, Neisseria meningitidis, and Haemophilus influenzae type b.","Các nguyên nhân vi khuẩn phổ biến nhất của viêm màng não là Streptococcus pneumoniae, Neisseria meningitidis, và Haemophilus influenzae nhóm b."
Diagnosis is by cerebrospinal fluid analysis.,Chẩn đoán bằng xét nghiệm dịch não tuỷ.
"For an overview of meningitis, see Overview of Meningitis.","Để biết tổng quan về viêm màng não, xem Tổng quan về Viêm màng não."
Growth rate should be monitored using a growth curve with percentiles; deviations in these parameters should be evaluated (see Physical Growth of Infants and Children).,Tốc độ tăng trưởng cần được theo dõi bằng cách sử dụng đường cong tăng trưởng với bách phân vị; độ lệch của các tham số này cần được đánh giá (xem Sự phát triển trẻ sơ sinh và trẻ em).
"Growth Percentile Calculators Clinical Calculator Clinical Calculator Clinical Calculator Clinical Calculator Clinical Calculator Clinical Calculator Clinical Calculator Clinical Calculator Clinical Calculator Clinical Calculator Blood pressure (See also Hypertension in Children.) Starting at 3 years of age, blood pressure (BP) should be routinely checked by using an appropriate-size cuff.","Máy tính bách phân vị tăng trưởng Công cụ tính toán lâm sàng Công cụ tính toán lâm sàng Công cụ tính toán lâm sàng Công cụ tính toán lâm sàng Công cụ tính toán lâm sàng Công cụ tính toán lâm sàng Công cụ tính toán lâm sàng Công cụ tính toán lâm sàng Công cụ tính toán lâm sàng Công cụ tính toán lâm sàng Huyết áp Bắt đầu từ 3 tuổi, huyết áp nên được kiểm tra thường xuyên bằng cách sử dụng băng đo có kích cỡ phù hợp."
The chest wall is palpated for the apical impulse to check for cardiomegaly.,Sờ thành ngực để tìm xung động đỉnh để kiểm tra tim to.
Stool is often palpable in the left lower quadrant.,Phân thường được sờ thấy ở góc dưới bên trái.
Only pronounced cases require therapy and referral to an orthopedist.,Chỉ những trường hợp rõ ràng mới cần điều trị và chuyển trẻ cho thầy huốc chỉnh hình.
Some examples follow.,Một số ví dụ sau.
Identify motivating factors for adherence.,Xác định các yếu tố thúc đẩy tuân thủ.
Assess progress and remind the patient and caregiver of follow-up visits.,Đánh giá tiến độ và nhắc nhở bệnh nhân và người chăm sóc về các lần khám theo dõi.
"Success in achieving a goal should be reinforced with praise, and only then should the next goal be added.",Thành công trong việc đạt được một mục tiêu cần được củng cố bằng lời khen ngợi và nên có mục tiêu kế tiếp bổ sung.
"Positioning Place the patient in a supine, frog position (hips and knees partially flexed, heels on the bed, hips comfortably abducted).","Tư thế Bệnh nhân ở tư thế nằm ngửa, tư thế con ếch (khớp háng và đầu gối gập một phần, gót chân trên giường, khớp giạng thoải mái)."
An assistant should hold the legs or knees.,Trợ lý nên giữ chân hoặc đầu gối.
Occasionally sedation is needed.,Đôi khi cần dùng thuốc an thần.
"Open the prepackaged kit, taking care not to contaminate the contents.","Mở bộ dụng cụ đóng gói sẵn, cẩn thận để không làm nhiễm bẩn bên trong."
Clean the area with an anterior-to-posterior motion.,Làm sạch vùng đó bằng chuyển động từ trước ra sau.
Hold the catheter in your dominant free hand.,Giữ ống thông bằng tay thuận của bạn.
Separate the labia with your nondominant hand.,Tách môi âm hộ bằng bàn tay không thuận của bạn.
"To prevent causing blind passages and urethral injury, do not use excessive force during insertion.","Để tránh đặt ống thông mù và tổn thương niệu đạo, không dùng lực quá mạnh trong quá trình đưa vào."
